"ASV","Contaminant","Phylum","Class","Order","Family","Genus","Species"
"ASV_4283",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4284",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4285",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4286",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4287",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4288",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4289",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4290",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4291",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4292",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. Ash2021"
"ASV_4294",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. Sr18"
"ASV_4295",FALSE,"Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria bicolor"
"ASV_4297",FALSE,"Mollusca","Bivalvia","","Laternulidae","Laternula","cf. Laternula sp. DH-2009"
"ASV_4298",FALSE,"Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp."
"ASV_4299",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. CLA17"
"ASV_4300",FALSE,"Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Sydowia","Sydowia polyspora"
"ASV_4301",FALSE,"","","","","","invertebrate environmental sample"
"ASV_4302",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. N503310"
"ASV_4303",FALSE,"Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Herposiphonia","Herposiphonia tenella"
"ASV_4304",FALSE,"Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium nonalfalfae"
"ASV_4305",FALSE,"Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus","Bursaphelenchus cocophilus"
"ASV_4306",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Cladobotryum","Cladobotryum mycophilum"
"ASV_4309",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter sp. L3A8"
"ASV_4310",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps blackwelliae"
"ASV_4311",FALSE,"Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp."
"ASV_4312",FALSE,"Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fuscoporia","Fuscoporia viticola"
"ASV_4313",FALSE,"Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Emericellopsis","Emericellopsis sp. 1a5"
"ASV_4314",FALSE,"Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus micaceus"
"ASV_4317",FALSE,"Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Arthrocladium","Arthrocladium fulminans"
"ASV_4318",FALSE,"Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium sp. ML3W"
"ASV_4319",FALSE,"Arthropoda","Insecta","Coleoptera","Scarabaeidae","Mimeoma","Mimeoma maculata"
"ASV_4322",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Mangrovimonas","Mangrovimonas cancribranchiae"
"ASV_4323",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. N2469"
"ASV_4325",FALSE,"Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter lusitanus"
"ASV_4327",FALSE,"Mollusca","Gastropoda","Stylommatophora","Limacidae","Weltersia","Weltersia obscura"
"ASV_4335",FALSE,"Ascomycota","Leotiomycetes","","","Leohumicola","Leohumicola minima"
"ASV_4336",FALSE,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","","Rhizobiaceae bacterium"
"ASV_4337",FALSE,"Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ophiostoma","Ophiostoma piceae"
"ASV_4339",FALSE,"Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp. D749"
"ASV_4342",FALSE,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora nodorum"
"ASV_4347",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita ciconiae"
"ASV_4350",FALSE,"Arthropoda","Arachnida","Mesostigmata","Urodinychidae","Uroobovella","Uroobovella sp. 2WK"
"ASV_4354",FALSE,"Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius sp. (in: basidiomycete fungi)"
"ASV_4355",FALSE,"Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora lycii"
"ASV_4357",FALSE,"Oomycota","","","","Haptoglossa","Haptoglossa zoospora"
"ASV_4358",FALSE,"Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","Phialocephala sp. SA-2014"
