,Phylum,Class,Order,Family,Genus,Species,Terrain
ASV_110,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,uncultured_Flavobacteriaceae_bacterium,Both
ASV_111,NA,NA,NA,NA,NA,NA,NA
ASV_112,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Trichobilharzia,Schistosomatidae_sp._W829,Both
ASV_113,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_sp._MBTD-CMFRI-SNA45,Aquatic
ASV_114,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_115,NA,NA,NA,NA,NA,NA,NA
ASV_116,Arthropoda,Eurotatoria,Adinetida,Adinetidae,Adineta,Adineta_vaga,Terrestrial
ASV_117,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter_sp._BPC-D8,Aquatic
ASV_118,Ascomycota,Eurotiomycetes,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium_crateriforme,Terrestrial
ASV_119,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_120,NA,NA,NA,NA,NA,NA,NA
ASV_121,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_bantiana,Terrestrial
ASV_122,NA,NA,NA,NA,NA,NA,NA
ASV_123,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_124,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_125,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_126,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_127,NA,NA,NA,NA,NA,NA,NA
ASV_128,NA,NA,NA,NA,NA,NA,NA
ASV_129,NA,NA,NA,NA,NA,NA,NA
ASV_130,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita_thiersii,Terrestrial
ASV_131,NA,NA,NA,NA,NA,NA,NA
ASV_132,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_133,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Bimastos,Bimastos_parvus,Terrestrial
ASV_134,NA,NA,NA,NA,NA,NA,NA
ASV_135,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_136,Arthropoda,Arachnida,Araneae,Helicinidae,Pleuropoma,Pleuropoma_jana,Terrestrial
ASV_137,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_destructivum,Terrestrial
ASV_138,NA,NA,NA,NA,NA,NA,NA
ASV_139,NA,NA,NA,NA,NA,NA,NA
ASV_140,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,uncultured_Flavobacteriaceae_bacterium,Both
ASV_141,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Desoria,Desoria_sp._BOLD:AAA7162,Terrestrial
ASV_142,Discosea,NA,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba_comandoni,Both
ASV_143,NA,NA,NA,NA,NA,NA,NA
ASV_144,Arthropoda,Catenulida,NA,Stenostomidae,Stenostomum,Stenostomum_cf._simplex_AW-2NA18,Both
ASV_145,NA,Phaeophyceae,Ectocarpales,Chordariaceae,Haplogloia,Haplogloia_sp._4GWS,NA
ASV_146,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_147,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum,Terrestrial
ASV_148,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium_sp._Ash2NA21,Terrestrial
