ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_80,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_81,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_sp.
ASV_82,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_83,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_84,NA,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis_pallidobrunnea
ASV_85,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_86,NA,Arthropoda,Insecta,NA,NA,NA,Endopterygota_sp._NZAC_03009123
ASV_87,NA,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_taiwanensis
ASV_88,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum
ASV_89,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_90,NA,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora
ASV_91,NA,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,Neopestalotiopsis_cubana
ASV_92,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_destructans
ASV_93,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_94,NA,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scopulariopsis,Scopulariopsis_brevicaulis
ASV_95,NA,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Rigidoporus,Rigidoporus_microporus
ASV_96,NA,NA,NA,NA,NA,NA,NA
ASV_97,NA,Arthropoda,Insecta,Coleoptera,Curculionidae,Pachycotes,Pachycotes_peregrinus
ASV_98,NA,NA,NA,NA,NA,NA,NA
ASV_99,NA,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Tolypocladium_ophioglossoides
ASV_100,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_bantiana
ASV_101,NA,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa_viridis
ASV_102,NA,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys_aristatus
ASV_103,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces_elegans
ASV_104,NA,NA,NA,NA,NA,NA,NA
ASV_105,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_106,NA,Arthropoda,Insecta,NA,NA,NA,Endopterygota_sp._NZAC_03009123
ASV_107,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces_elegans
ASV_108,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_109,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_sp._DAOM_239516
ASV_110,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_verrucosa
ASV_111,NA,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia_solium
ASV_112,NA,Arthropoda,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus,Nosopsyllus_laeviceps
ASV_113,NA,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium_pullulans
ASV_114,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Arthrocladium,Arthrocladium_fulminans
ASV_115,NA,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora
ASV_116,NA,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys_aristatus
ASV_117,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_118,NA,Ascomycota,Dothideomycetes,NA,NA,NA,Dothideomycetes_sp._NU30
ASV_119,NA,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa_viridis
ASV_120,NA,NA,NA,NA,NA,NA,NA
ASV_121,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_bantiana
ASV_122,NA,Arthropoda,Insecta,Diptera,Dixidae,NA,Dixidae_sp._BOLD-2016
ASV_123,NA,Arthropoda,Insecta,Diptera,Bombyliidae,NA,Bombyliidae_sp._BOLD-2016
ASV_124,NA,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps_sp._CUHK_CD14-1
ASV_125,NA,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Mesobiotus,Mesobiotus_occultatus
ASV_126,NA,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Sporothrix,Sporothrix_sp._FH-2023a
ASV_127,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_128,NA,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Ophidiomyces,Ophidiomyces_ophidiicola
ASV_129,NA,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pseudofabraea,Pseudofabraea_citricarpa
ASV_130,NA,Arthropoda,Arachnida,Mesostigmata,Parasitidae,NA,Parasitidae_sp._BIOUG24479-C11
ASV_131,NA,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces_candolleanus
ASV_132,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_sp.
ASV_133,NA,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
ASV_134,NA,NA,NA,NA,NA,NA,NA
ASV_135,NA,NA,NA,NA,NA,NA,NA
ASV_136,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_verrucosum
ASV_137,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_digitatum
ASV_138,NA,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia_endosymbiont_of_Armadillidium_vulgare
ASV_139,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_140,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_141,NA,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Odontria,Odontria_sp
ASV_142,NA,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Eimeria,Eimeria_macyi
ASV_143,NA,NA,NA,NA,NA,NA,NA
ASV_144,NA,NA,NA,NA,NA,NA,NA
ASV_145,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum
ASV_146,NA,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Apiospora,Apiospora_arundinis
ASV_147,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum
ASV_148,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_bantiana
ASV_149,NA,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps_militaris
ASV_150,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_lenta
ASV_151,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_levissima
ASV_152,NA,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
ASV_153,NA,Arthropoda,Insecta,Hymenoptera,NA,NA,Hymenoptera_sp.
ASV_154,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_155,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_janthinellum
ASV_156,NA,Mucoromycota,Mucoromycetes,Mucorales,Backusellaceae,Backusella,Backusella_lamprospora
ASV_157,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_polonicum
ASV_158,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
