ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_8688,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,NA
ASV_8689,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,NA,NA,NA
ASV_8690,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
ASV_8691,Bacteria,NA,NA,NA,NA,NA,NA
ASV_8692,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Rubidimonas,crustatorum
ASV_8693,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,palustris
ASV_8694,Bacteria,NA,NA,NA,NA,NA,NA
ASV_8695,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,NA
ASV_8696,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Paradevosia,sp.
ASV_8697,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,NA
ASV_8698,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,NA
ASV_8699,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,NA
ASV_8700,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA,NA
ASV_8701,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
ASV_8702,Bacteria,Chloroflexota,TK10,NA,NA,NA,NA
ASV_8703,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,NA
ASV_8704,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_8705,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,NA
ASV_8706,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
ASV_8707,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
ASV_8708,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV_8709,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
ASV_8710,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,NA
ASV_8711,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_8712,Bacteria,Latescibacterota,NA,NA,NA,NA,NA
ASV_8713,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA
ASV_8714,Bacteria,Armatimonadota,NA,NA,NA,NA,NA
ASV_8715,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,NA
ASV_8716,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
ASV_8717,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,NA
ASV_8718,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV_8719,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_8720,Bacteria,Chloroflexota,SHA-26,NA,NA,NA,NA
ASV_8721,Bacteria,Actinomycetota,Thermoleophilia,NA,NA,NA,NA
ASV_8722,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tabrizicola,NA
ASV_8723,Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,NA,NA
ASV_8724,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
